frase;label
 Além disso, o Vice-Presidente do Instituto Brasil-Palestina, Sayid, parece ter uma atitude provocadora em relação ao povo israelense, inclusive manipulando a bandeira de Israel e pedindo a morte do povo israelense. ;1
Eu acho que ele vai chegar a ser demandado perante o Conselho de Ética — o PSOL não vai perder a chance de fazer essa hipocrisia, provavelmente.;0
Essa é uma visão, no mínimo, equivocada.;0
Eu estava falando esses dias com a empregada doméstica que trabalha lá em casa, a diarista, e aconselho todos a fazerem a mesma coisa.;0
Eu lamento por aqueles que votaram em Bolsonaro, reconheciam as políticas de Paulo Guedes e agora têm que aguentar esse tipo de coisa.;0
Mulheres pertencem à cozinha.;1
Eles são todos ilegais e criminosos.;1
Você considerou todas as implicações dessa afirmação?;0
 Por que nós não estamos vendo a mobilização da Esquerda ou a comoção da mídia por um homem que estava preso sem ter que estar preso e que foi morto, mas não deveria estar morto? Como eu já venho falando há bastante tempo, antes de todo genocídio físico, há um genocídio cultural. Muitos da Esquerda, muitos da mídia e muitos Deputados que estão aqui, que defendem a democracia, a liberdade, o amor para com o próximo, os direitos humanos, na verdade, não veem essa pessoa como um ser humano. Foi tirada a personalidade humana do opositor político. ;0
O Deputado Andrade parece desconectado das necessidades reais de seu eleitorado.;0
Chinesinhos são tão inteligentes, né?;1
Deputada Pereira deveria focar mais nas questões de saúde pública, é uma necessidade urgente.;0
"A reforma trabalhista é complexa; há aspectos que, na minha opinião, podem beneficiar a economia de outras maneiras.";0
Ela não sabe nada, vem de uma família pobre.;1
 Eu quero dizer algo aqui mais uma vez. Talvez você possa discordar de mim, e eu concordo em você discordar. Eu não quero que você concorde 100% comigo. Mas este é um fato: esse homem não deveria ter sido preso e foi morto por negligência jurídica do Ministro Alexandre de Moraes! ;0
Tenho certeza de que o Brasil, talvez não hoje, talvez não amanhã, talvez não daqui a 4 anos, mas um dia voltará a ter um Presidente de direita à sua frente.;0
 Ora, esse é um incentivo ao empregador para que efetivamente realize a contratação, que não impactará, de maneira nenhuma, no tempo de contribuição do empregado, não impactará, de maneira nenhuma, no valor de aposentadoria do empregado. ;0
Nós vamos comprar uma briga com essa militância LGBT sei lá o quê, que mais parece uma seita?;1
Certamente, a maioria dos brasileiros não sabe o que é isso. Na prática, sabe o que é? Quando um crime deixa de ser tipificado como crime, todos aqueles que estão presos são postos em liberdade.;0
Como disse o nosso grande amigo Paulo Mercadante, “não parar, não precipitar, não retroceder”.;0
Segundo o Ministro da Justiça, o Complexo da Maré é mais seguro do que a Câmara dos Deputados.;0
Deputada Lima, suas políticas econômicas não estão ajudando a população mais vulnerável.;0
A arte em tons de preto e branco tem um charme único.;0
Você tem uma habilidade incrível de capturar momentos mágicos.;0
Pessoas de classe baixa são preguiçosas e desonestas.;1
Presidente, Israel já tentou fazer a paz em cinco oportunidades, pelo menos, oferecendo vários pedaços de terra, inclusive mais terra foi oferecida para o lado palestino em determinadas oportunidades do que para os judeus de Israel.;0
Você prometeu picanha e está dando abóbora para o seu povo!;0
A partir de uma definição do Ministro Alexandre de Moraes, numa ação que nós do PSOL, do Movimento dos Sem Teto, da REDE entramos no Supremo Tribunal Federal.;0
Altinhos assim sempre se acham.;1
A arquitetura colonial no Nordeste conta histórias do passado brasileiro.;0
A maneira como você equilibra exercício, dieta e descanso é um modelo a seguir.;0
Não vamos permitir que a barbárie, que a desumanidade, que esse tipo de coisa venha a manchar a imagem do Parlamento brasileiro.;0
Pessoas magras são sempre vaidosas.;1
O que aconteceu para você não vir aqui e esclarecer as coisas?;0
Não devemos misturar nossa cultura com a deles.;1
Concordo com sua postura sobre a importância da educação pública de qualidade.;0
É refrescante ver alguém abordando a política com tanto cuidado e consideração.;0
Agora, até no meu surfe, a WSL está aceitando homem trans ou mulher trans, sei lá, para competir com as mulheres.;0
Não ache, Ministro — ex-Ministro agora —, que você se irá de eximir de vir até a CPMI esclarecer o que aconteceu.;0
Essa religião não tem lugar no mundo moderno.;1
Além disso, vive-se a superlotação, o descaso e atrasos nos horários de pico.;0
A cultura do Nordeste é incrivelmente rica e diversificada.;0
Você só precisa de um bom pau pra virar mulher de verdade;1
Todos de Evangelicos são radicais.;1
Negros não são bons líderes.;1
Eles são do Nordeste, então devem ser pobres.;1
Seu ativismo pelos direitos dos trabalhadores é essencial, especialmente nestes tempos.;0
Porque eu tenho certeza de que há casos de injustiça acontecendo.;0
Essa foto é tão espontânea e alegre, adoro!;0
Ela só conseguiu esse emprego porque é bonita.;1
Assistência social é importante, mas como isso se alinha com a sustentabilidade fiscal do estado?;0
Coitadinho, ele é deficiente.;1
 Infelizmente, temos alertado para o absurdo que é a postura ditatorial do Ministro Alexandre de Moraes, que, mesmo diante de provas dos riscos â vida desses senhores e senhoras, alguns em idade avançada, outros sofrendo de moléstias crônicas, mantem, de forma teimosa e cruel, todos encarcerados em condições subumanas. ;0
Então, quem será efetivamente o ladrão?;0
A empresa simplesmente tem que trabalhar com responsabilidade e cumprir o contrato que firmou.;0
Você tem um jeito de fazer com que cada foto conte uma história.;0
Os ritmos musicais do Nordeste, como o axé e o baião, são contagiantes.;0
E quem vai ser contra esclarecer o que está acontecendo de fato?;0
Os festivais de música no Nordeste são uma celebração da vida e da cultura.;0
Entendo onde você quer chegar, mas acho que isso não se aplica a todos os cenários.;0
Você parece tão poderosa e confiante, é um verdadeiro exemplo.;0
"Eu sei que, talvez por conta da pressão midiática da Esquerda, possa-se pensar: ""Poxa, mas será que elas não erraram a mão e foram ali, na histeria, para poder quebrar o patrimônio público?""";0
Respeito sua visão, mas tenho que discordar com base na minha experiência e conhecimento.;0
Após a construção desse muro, o número de homens-bombas se reduziu a zero. Para quem fica falando da questão do muro entre o México e os Estados Unidos, está aí o exemplo de um muro que funcionou.;0
E, hoje, só o Movimento dos Trabalhadores Sem-Teto tem 46 cozinhas solidárias auto-organizadas no País.;0
Lutar por um sistema justo é nobre, mas como isso se equilibra com o incentivo ao mérito individual?;0
Riquinhos são todos mimados.;1
Nordestinos são todos iguais.;1
Acho que essa opinião pode ser revista à luz de novas informações.;0
Decepcionado com o Deputado Farias por não se posicionar firmemente sobre a reforma da previdência.;0
Agora Israel, que, sim, sofreu um genocídio por parte do Hitler, tinha 18 milhões antes da Segunda Guerra Mundial, e hoje, esse povo não conseguiu ainda chegar a 18 milhões.;0
Exercitar-se regularmente é um grande passo para uma vida mais saudável, parabéns pela iniciativa!;0
A Deputada Lima não está se esforçando o suficiente na luta pela educação inclusiva.;0
Fizeram uma onda para tentar cancelar a menina.;0
Vovozinho já não entende essas coisas modernas.;1
Os costumes deles são estranhos e inferiores.;1
Esses idosinhos vivem esquecendo as coisas.;1
Digo mais: não é preciso voltar atrás em todos esses escândalos do PT, não, vamos falar de agora.;0
